"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","easkin","Eastern Kingbird","Tyrannus tyrannus",0.42,0.17,0,0.27,"prebreeding_migration","05-17",0.5364,"34 of 45","Open Country:  Habitat Mosaic","Grasslands:  Temperate"
"Massachusetts","easmea","Eastern Meadowlark","Sturnella magna",0.01,0.01,0,0.01,"postbreeding_migration","10-18",0.03303,"31 of 31","Grasslands:  Temperate","Grasslands:  Tropical"
"Massachusetts","easowl1","Eastern Screech-Owl","Megascops asio",0.86,0.86,0.86,0.86,"resident","year round resident",NA,"28 of 39","Forests:  Temperate Eastern",NA
"Massachusetts","easpho","Eastern Phoebe","Sayornis phoebe",0.89,0.63,0,0.8,"postbreeding_migration","09-20",1.793,"27 of 38","Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Massachusetts","eastow","Eastern Towhee","Pipilo erythrophthalmus",1.22,0.6,0.03,0.69,"postbreeding_migration","09-20",1.692,"22 of 36","Forests:  Temperate Eastern",NA
"Massachusetts","easwpw1","Eastern Whip-poor-will","Antrostomus vociferus",0.53,0,0,0.95,"unidentified","09-20",2.062,"20 of 32","Forests:  Temperate Eastern",NA
"Massachusetts","eawpew","Eastern Wood-Pewee","Contopus virens",0.73,0.35,0,0.36,"breeding","06-14",0.7836,"28 of 37","Forests:  Temperate Eastern",NA
"Massachusetts","eursta","European Starling","Sturnus vulgaris",0.04,0.04,0.09,0.05,"nonbreeding","12-27",0.163,"41 of 48","Open Country:  Developed/Disturbed",NA
"Massachusetts","evegro","Evening Grosbeak","Coccothraustes vespertinus",0,0.15,0.07,0.02,"postbreeding_migration","11-08",0.3465,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","fiespa","Field Sparrow","Spizella pusilla",0.21,0.31,0.14,0.26,"postbreeding_migration","10-18",0.4638,"30 of 39","Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Massachusetts","fiscro","Fish Crow","Corvus ossifragus",0.74,0,0.51,0,"unidentified","03-08",1.639,"20 of 30","Open Country:  Habitat Mosaic","Wetlands:  Generalist"
"Massachusetts","forter","Forster's Tern","Sterna forsteri",0.01,0.21,0,0,"postbreeding_migration","09-13",0.4999,"36 of 36","Wetlands:  Freshwater Marsh",NA
"Massachusetts","foxspa","Fox Sparrow","Passerella iliaca",0,0.14,0.06,0.06,"postbreeding_migration","11-15",0.8807,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","gadwal","Gadwall","Mareca strepera",0.01,0.01,0.01,0.01,"postbreeding_migration","12-06",0.01976,"19 of 19","Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
